Biomarker	Function	Somatic_or_Germline_alteration	Alteration	Biomarker_basket
RAD18	Loss-of-function	Somatic	Deletion	DDR
RAD18	Loss-of-function	Somatic	Underexpression	DDR
RAD51	Loss-of-function	Somatic	Deletion	DDR
RAD51	Loss-of-function	Somatic	Underexpression	DDR
RAD51B	Loss-of-function	Somatic	Deletion	DDR
RAD51B	Loss-of-function	Somatic	Underexpression	DDR
RAD54L	Loss-of-function	Somatic	Underexpression	DDR
RAD54L	Loss-of-function	Somatic	Deletion	DDR
SBS3	Composite biomarker	Somatic	Mutational signature	DDR
SBS8	Composite biomarker	Somatic	Mutational signature	DDR
TSSK3	Loss-of-function	Somatic	Underexpression	DEV
TSSK3	Loss-of-function	Somatic	Deletion	DEV
XRCC3	Loss-of-function	Somatic	Underexpression	DDR
XRCC3	Loss-of-function	Somatic	Deletion	DDR
HRD	Composite biomarker	Somatic	Positive	DDR
NF2	Loss-of-function	Somatic	Deletion	PAM
PTEN	Loss-of-function	Somatic	SNV/indel	PAM
PTEN	Loss-of-function	Somatic	Underexpression	PAM
PTEN	Loss-of-function	Somatic	Deletion	PAM
SBS3	Composite biomarker	Somatic	Mutational signature	DDR
SBS8	Composite biomarker	Somatic	Mutational signature	DDR
HGF	Gain-of-function	Somatic	Overexpression	TK
CCND1	Gain-of-function	Somatic	Overexpression	CC
CDKN2A	Loss-of-function	Somatic	Deletion	CC
CDKN2B	Loss-of-function	Somatic	Deletion	CC
ATM	Loss-of-function	Germline	SNV/indel	DDR
ATM	Loss-of-function	Germline	Underexpression	DDR
RIT1	Gain-of-function	Somatic	SNV/indel	RME
RIT1	Gain-of-function	Somatic	SNV/indel	RME
KRAS	Gain-of-function	Somatic	SNV/indel	RME
CDKN2A	Loss-of-function	Somatic	SNV/indel	CC
KRAS	Gain-of-function	Somatic	SNV/indel	RME
KRAS	Gain-of-function	Somatic	Gain	RME
KMT2D	Loss-of-function	Somatic	SNV/indel	OTH
CLDN18	Gain-of-function	Somatic	Overexpression	IE
GNA11	Gain-of-function	Somatic	SNV/indel	RME
BRAF	Gain-of-function	Somatic	SNV/indel	RME
NF1	Loss-of-function	Somatic	Deletion	RME
BRCA1	Loss-of-function	Somatic	Deletion	DDR
SBS3	Composite biomarker	Somatic	Mutational signature	DDR
CDKN2A	Loss-of-function	Somatic	Deletion	CC
CDKN2B	Loss-of-function	Somatic	Deletion	CC
TET2	Loss-of-function	Somatic	SNV/indel	OTH
CDK4	Gain-of-function	Somatic	Overexpression	CC
CDK4	Gain-of-function	Somatic	Gain	CC
FLT1	Gain-of-function	Somatic	Overexpression	TK
PDGFRA	Gain-of-function	Somatic	Overexpression	TK
MDM2	Gain-of-function	Somatic	Overexpression	CC
MDM2	Gain-of-function	Somatic	Gain	CC
FLT1	Gain-of-function	Somatic	Overexpression	TK
PDGFRA	Gain-of-function	Somatic	Overexpression	TK
BRD4	Gain-of-function	Somatic	Fusion	OTH
NUTM1	Gain-of-function	Somatic	Fusion	OTH
STK11	Loss-of-function	Somatic	Deletion	PAM
FGF4	Gain-of-function	Somatic	Overexpression	TK
FGFR3	Gain-of-function	Somatic	Overexpression	TK
NRG1	Gain-of-function	Somatic	Overexpression	TK
PDCD1	Gain-of-function	Somatic	Overexpression	IE
NA	NA	NA	NA	NA
CDKN2A	Loss-of-function	Somatic	Deletion	CC
CDKN2B	Loss-of-function	Somatic	Deletion	CC
FGFR2	Gain-of-function	Somatic	Overexpression	TK
FGFR3	Gain-of-function	Somatic	Overexpression	TK
RET	Gain-of-function	Somatic	Overexpression	TK
EXT2	Loss-of-function	Germline	NA	OTH
CHEK2	Loss-of-function	Germline	NA	DDR
ATM	Loss-of-function	Germline	SNV/indel	DDR
TSC1	Loss-of-function	Somatic	Deletion	PAM
KDM6A	Loss-of-function	Somatic	SNV/indel	OTH
ATM	Loss-of-function	Germline	NA	DDR
CCND2	Gain-of-function	Somatic	Overexpression	CC
CDKN2A	Loss-of-function	Somatic	Deletion	CC
CDKN2A	Loss-of-function	Somatic	Underexpression	CC
CDKN2B	Loss-of-function	Somatic	Deletion	CC
CDKN2B	Loss-of-function	Somatic	Underexpression	CC
BRCA2	Loss-of-function	Germline	SNV/indel	DDR
SBS8	Composite biomarker	Somatic	Mutational signature	DDR
SLFN11	Gain-of-function	Somatic	Overexpression	DDR
BRCA2	Loss-of-function	Germline	SNV/indel	DDR
SBS8	Composite biomarker	Somatic	Mutational signature	DDR
SLFN11	Gain-of-function	Somatic	Overexpression	DDR
EWSR1	Gain-of-function	Somatic	Fusion	OTH
FLI1	Gain-of-function	Somatic	Fusion	OTH
KIT	Gain-of-function	Somatic	Overexpression	TK
MYB	Gain-of-function	Somatic	Overexpression	OTH
MYB	Gain-of-function	Somatic	Fusion	OTH
NFIB	Gain-of-function	Somatic	Fusion	OTH
NFIB	Gain-of-function	Somatic	Overexpression	OTH
ERBB2	Gain-of-function	Somatic	Overexpression	TK
ERBB3	Gain-of-function	Somatic	Overexpression	TK
FGFR2	Gain-of-function	Somatic	Overexpression	TK
NRG2	Gain-of-function	Somatic	Overexpression	TK
NTRK3	Gain-of-function	Somatic	Overexpression	TK
PDGFA	Gain-of-function	Somatic	Overexpression	TK
NOTCH1	Gain-of-function	Somatic	Overexpression	DEV
CD274	Gain-of-function	Somatic	Gain	IE
CD274	Gain-of-function	Somatic	Overexpression	IE
CTLA4	Gain-of-function	Somatic	Overexpression	IE
PDCD1LG2	Gain-of-function	Somatic	Overexpression	IE
PDCD1LG2	Gain-of-function	Somatic	Gain	IE
PTEN	Loss-of-function	Somatic	Deletion	PAM
PTEN	Loss-of-function	Somatic	Underexpression	PAM
ATRX	Loss-of-function	Somatic	Deletion	OTH
BRCA2	Loss-of-function	Somatic	Deletion	DDR
CDK12	Loss-of-function	Somatic	Fusion	DDR
FANCA	Loss-of-function	Somatic	Deletion	DDR
HDAC2	Loss-of-function	Somatic	Deletion	DDR
IRS2	Loss-of-function	Somatic	Fusion	TK
RAD51C	Loss-of-function	Somatic	Deletion	DDR
MTOR	Gain-of-function	Somatic	SNV/indel	PAM
PIK3R1	Loss-of-function	Somatic	SNV/indel	PAM
PTEN	Loss-of-function	Somatic	Underexpression	PAM
PTEN	Loss-of-function	Somatic	Deletion	PAM
ALK	Gain-of-function	Somatic	Overexpression	TK
ALK	Gain-of-function	Somatic	Gain	TK
BAP1	Loss-of-function	Somatic	SNV/indel	DDR
ERBB4	Gain-of-function	Somatic	Overexpression	TK
NRG1	Gain-of-function	Somatic	Overexpression	TK
NRG3	Gain-of-function	Somatic	Overexpression	TK
SBS3	Composite biomarker	Somatic	Mutational signature	DDR
ALK	Gain-of-function	Somatic	Overexpression	TK
FGFR1	Gain-of-function	Somatic	Overexpression	TK
JAK1	Gain-of-function	Somatic	Overexpression	TK
MSH6	Loss-of-function	Somatic	SNV/indel	DDR
PMS2	Loss-of-function	Germline	SNV/indel	DDR
SBS26	Composite biomarker	Germline	Mutational signature	NA
SBS26	Composite biomarker	Somatic	Mutational signature	NA
NF1	Loss-of-function	Somatic	SNV/indel	RME
NF1	Loss-of-function	Somatic	SNV/indel	RME
CDKN2A	Loss-of-function	Somatic	Deletion	CC
SOCS6	Loss-of-function	Somatic	Deletion	NA
STK11	Loss-of-function	Somatic	SNV/indel	PAM
BRCA2	Loss-of-function	Somatic	SNV/indel	DDR
FGFR1	Gain-of-function	Somatic	Overexpression	TK
FGFR4	Gain-of-function	Somatic	Overexpression	TK
CDK4	Gain-of-function	Somatic	Overexpression	CC
CDK4	Gain-of-function	Somatic	Gain	CC
MDM2	Gain-of-function	Somatic	Overexpression	CC
MDM2	Gain-of-function	Somatic	Gain	CC
BRCA2	Loss-of-function	Somatic	Deletion	DDR
CHEK2	Loss-of-function	Somatic	Deletion	DDR
FANCA	Loss-of-function	Somatic	Deletion	DDR
RAD51B	Loss-of-function	Somatic	Deletion	DDR
XRCC3	Loss-of-function	Somatic	Deletion	DDR
MDM2	Gain-of-function	Somatic	Gain	CC
NF1	Loss-of-function	Somatic	Deletion	RME
FANCA	Loss-of-function	Germline	NA	DDR
NTRK3	Gain-of-function	Somatic	Gain	TK
NA	NA	NA	NA	NA
FLT1	Gain-of-function	Somatic	Overexpression	TK
FLT4	Gain-of-function	Somatic	Overexpression	TK
KDR	Gain-of-function	Somatic	Overexpression	TK
NRG2	Gain-of-function	Somatic	Overexpression	TK
PDGFB	Gain-of-function	Somatic	Overexpression	TK
PDGFRB	Gain-of-function	Somatic	Overexpression	TK
PTPRB	Loss-of-function	Somatic	Overexpression	NA
VEGFA	Gain-of-function	Somatic	Overexpression	TK
VEGFB	Gain-of-function	Somatic	Overexpression	TK
ASPSCR1	Gain-of-function	Somatic	Fusion	OTH
CD274	Gain-of-function	Somatic	Overexpression	IE
TFE3	Gain-of-function	Somatic	Fusion	OTH
PTEN	Loss-of-function	Somatic	Deletion	PAM
RPTOR	Gain-of-function	Somatic	Overexpression	PAM
RPTOR	Gain-of-function	Somatic	Gain	PAM
PTEN	Loss-of-function	Somatic	Deletion	PAM
RPTOR	Gain-of-function	Somatic	Gain	PAM
RPTOR	Gain-of-function	Somatic	Overexpression	PAM
PTEN	Loss-of-function	Somatic	Deletion	PAM
RPTOR	Gain-of-function	Somatic	Overexpression	PAM
RPTOR	Gain-of-function	Somatic	Gain	PAM
MET	Gain-of-function	Somatic	Overexpression	TK
EPHA3	Gain-of-function	Somatic	Overexpression	TK
FLT4	Gain-of-function	Somatic	Overexpression	TK
KRAS	Gain-of-function	Somatic	SNV/indel	RME
PDGFRB	Gain-of-function	Somatic	Overexpression	TK
TEK	Gain-of-function	Somatic	Overexpression	TK
KRAS	Gain-of-function	Somatic	SNV/indel	RME
KRAS	Gain-of-function	Somatic	SNV/indel	RME
CDKN2A	Loss-of-function	Somatic	Underexpression	CC
CDKN2A	Loss-of-function	Somatic	Deletion	CC
CDKN2B	Loss-of-function	Somatic	Underexpression	CC
CDKN2B	Loss-of-function	Somatic	Deletion	CC
PIK3CA	Gain-of-function	Somatic	SNV/indel	PAM
CDKN2A	Loss-of-function	Somatic	Deletion	CC
KIT	Gain-of-function	Somatic	SNV/indel	TK
NF1	Loss-of-function	Somatic	Deletion	RME
NF2	Loss-of-function	Somatic	Deletion	PAM
ABL1	Gain-of-function	Somatic	Overexpression	RME
ABL2	Gain-of-function	Somatic	Overexpression	RME
FLT3	Gain-of-function	Somatic	Overexpression	TK
FLT4	Gain-of-function	Somatic	Overexpression	TK
MERTK	Gain-of-function	Somatic	SNV/indel	TK
MERTK	Gain-of-function	Somatic	Gain	TK
MERTK	Gain-of-function	Somatic	Overexpression	TK
PDGFB	Gain-of-function	Somatic	Overexpression	TK
SDHB	Loss-of-function	Germline	SNV/indel	OTH
ABL1	Gain-of-function	Somatic	Overexpression	RME
ABL2	Gain-of-function	Somatic	Overexpression	RME
CSF1R	Gain-of-function	Somatic	Overexpression	TK
ERBB3	Gain-of-function	Somatic	SNV/indel	TK
NRG1	Gain-of-function	Somatic	Overexpression	TK
NRG3	Gain-of-function	Somatic	Gain	TK
NRG3	Gain-of-function	Somatic	Overexpression	TK
PDGFB	Gain-of-function	Somatic	Overexpression	TK
IGF1R	Gain-of-function	Somatic	Overexpression	TK
SDHB	Loss-of-function	Germline	Underexpression	OTH
SDHB	Loss-of-function	Germline	SNV/indel	OTH
SDHC	Loss-of-function	Somatic	Underexpression	OTH
ERCC2	Loss-of-function	Germline	SNV/indel	DDR
ERCC2	Loss-of-function	Germline	Deletion	DDR
HRD	Composite biomarker	Germline	Positive	DDR
NBN	Loss-of-function	Germline	SNV/indel	DDR
PARP2	Gain-of-function	Somatic	Gain	DDR
PARP2	Gain-of-function	Somatic	Overexpression	DDR
SBS3	Composite biomarker	Somatic	Mutational signature	DDR
SBS8	Composite biomarker	Somatic	Mutational signature	DDR
CD274	Gain-of-function	Somatic	Overexpression	IE
LAG3	Gain-of-function	Somatic	Overexpression	IE
PDCD1	Gain-of-function	Somatic	Overexpression	IE
PDCD1LG2	Gain-of-function	Somatic	Overexpression	IE
ERCC2	Loss-of-function	Germline	SNV/indel	DDR
SDHB	Loss-of-function	Germline	SNV/indel	OTH
ERCC2	Loss-of-function	Germline	NA	DDR
SDHB	Loss-of-function	Germline	NA	OTH
CTLA4	Gain-of-function	Somatic	Overexpression	IE
PDCD1	Gain-of-function	Somatic	Overexpression	IE
TMB	Composite biomarker	Somatic	Positive	IE
NRG2	Gain-of-function	Somatic	Overexpression	TK
EGFR	Gain-of-function	Somatic	Gain	TK
TMB	Composite biomarker	Somatic	Positive	IE
NA	NA	NA	NA	NA
CD274	Gain-of-function	Somatic	Gain	IE
TMB	Composite biomarker	Somatic	Positive	IE
CDK6	Gain-of-function	Somatic	Overexpression	CC
CDK6	Gain-of-function	Somatic	Gain	CC
FGFR2	Gain-of-function	Somatic	Overexpression	TK
FGFR3	Gain-of-function	Somatic	Overexpression	TK
FGFR4	Gain-of-function	Somatic	Overexpression	TK
CLDN18	Gain-of-function	Somatic	Overexpression	IE
NA	NA	NA	NA	NA
CDKN2A	Loss-of-function	Somatic	Deletion	CC
CDKN2B	Loss-of-function	Somatic	Deletion	CC
BRCA2	Loss-of-function	Somatic	Deletion	DDR
BRCC3	Loss-of-function	Somatic	Deletion	NA
FANCG	Loss-of-function	Somatic	Deletion	DDR
RAD50	Loss-of-function	Somatic	Deletion	DDR
RAD51AP1	Loss-of-function	Somatic	Gain	DDR
RAD51C	Loss-of-function	Somatic	SNV/indel	DDR
RAD52	Gain-of-function	Somatic	Gain	NA
EWSR1	Gain-of-function	Somatic	Fusion	OTH
FLI1	Gain-of-function	Somatic	Fusion	OTH
SLFN11	Gain-of-function	Somatic	Overexpression	DDR
ALK	Gain-of-function	Somatic	Overexpression	TK
EWSR1	Gain-of-function	Somatic	Fusion	OTH
FLI1	Gain-of-function	Somatic	Fusion	OTH
ABL1	Gain-of-function	Somatic	Overexpression	RME
ABL2	Gain-of-function	Somatic	Overexpression	RME
CTNNB1	Gain-of-function	Somatic	SNV/indel	DEV
KIT	Gain-of-function	Somatic	Overexpression	TK
NRG1	Gain-of-function	Somatic	Overexpression	TK
PDGFRA	Gain-of-function	Somatic	Overexpression	TK
PDGFRB	Gain-of-function	Somatic	Overexpression	TK
DNMT3A	Loss-of-function	Somatic	SNV/indel	OTH
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
GNAQ	Gain-of-function	Somatic	SNV/indel	RME
GNAQ	Gain-of-function	Somatic	SNV/indel	RME
CHEK2	Loss-of-function	Somatic	Underexpression	DDR
CHEK2	Loss-of-function	Somatic	Deletion	DDR
HRD	Composite biomarker	Somatic	Positive	DDR
MRE11	Loss-of-function	Somatic	Deletion	DDR
MRE11	Loss-of-function	Somatic	Underexpression	DDR
SBS3	Composite biomarker	Somatic	Mutational signature	DDR
NA	NA	NA	NA	NA
IDH1	Gain-of-function	Somatic	SNV/indel	OTH
ERBB3	Gain-of-function	Somatic	Overexpression	TK
FGFR3	Gain-of-function	Somatic	Overexpression	TK
FGFR4	Gain-of-function	Somatic	Overexpression	TK
NRG3	Gain-of-function	Somatic	Overexpression	TK
KIT	Gain-of-function	Somatic	SNV/indel	TK
CDK12	Loss-of-function	Somatic	Underexpression	DDR
CDK12	Loss-of-function	Somatic	Deletion	DDR
ERCC6	Loss-of-function	Somatic	Deletion	DDR
ERCC6	Loss-of-function	Somatic	Underexpression	DDR
ALK	Gain-of-function	Somatic	Overexpression	TK
MET	Gain-of-function	Somatic	Overexpression	TK
FLCN	Loss-of-function	Germline	NA	PAM
FGF4	Gain-of-function	Somatic	Overexpression	TK
FGFR1	Gain-of-function	Somatic	Overexpression	TK
GLI1	Gain-of-function	Somatic	Overexpression	DEV
GLI2	Gain-of-function	Somatic	Overexpression	DEV
KIF7	Gain-of-function	Somatic	Overexpression	DEV
NA	NA	NA	NA	NA
CDKN2A	Loss-of-function	Somatic	Deletion	CC
CDKN2B	Loss-of-function	Somatic	Deletion	CC
FGFR1	Gain-of-function	Somatic	Overexpression	TK
PDGFA	Gain-of-function	Somatic	Overexpression	TK
RET	Gain-of-function	Somatic	Overexpression	TK
CSF1R	Gain-of-function	Somatic	Overexpression	TK
PDGFRA	Gain-of-function	Somatic	Overexpression	TK
FGFR1	Gain-of-function	Somatic	Gain	TK
FGFR1	Gain-of-function	Somatic	Overexpression	TK
EGFR	Gain-of-function	Somatic	Overexpression	TK
EGFR	Gain-of-function	Somatic	Gain	TK
EGFR	Gain-of-function	Somatic	SNV/indel	TK
CDKN2A	Loss-of-function	Somatic	Underexpression	CC
CDKN2A	Loss-of-function	Somatic	Deletion	CC
CDKN2B	Loss-of-function	Somatic	Underexpression	CC
CDKN2B	Loss-of-function	Somatic	Deletion	CC
MDM2	Gain-of-function	Somatic	Overexpression	CC
MDM2	Gain-of-function	Somatic	Gain	CC
CDK4	Gain-of-function	Somatic	Overexpression	CC
CDK4	Gain-of-function	Somatic	Gain	CC
BRCA2	Loss-of-function	Somatic	Underexpression	DDR
CHEK1	Loss-of-function	Somatic	Underexpression	DDR
RAD51	Loss-of-function	Somatic	Underexpression	DDR
RAD54B	Loss-of-function	Somatic	Underexpression	DDR
SBS3	Composite biomarker	Somatic	Mutational signature	DDR
SBS8	Composite biomarker	Somatic	Mutational signature	DDR
FGF4	Gain-of-function	Somatic	Overexpression	TK
FGFR1	Gain-of-function	Somatic	Overexpression	TK
PIK3CG	Gain-of-function	Germline	SNV/indel	NA
PIK3CG	Gain-of-function	Somatic	SNV/indel	NA
BRCA2	Loss-of-function	Somatic	SNV/indel	DDR
FANCL	Loss-of-function	Somatic	SNV/indel	DDR
BRCA2	Loss-of-function	Germline	NA	DDR
CDK4	Gain-of-function	Somatic	Gain	CC
EGFR	Gain-of-function	Somatic	Overexpression	TK
ERBB3	Gain-of-function	Somatic	Overexpression	TK
TMB	Composite biomarker	NA	Positive	IE
TMB	Composite biomarker	NA	Positive	IE
NA	NA	NA	NA	NA
ALK	Gain-of-function	Somatic	Fusion	TK
ALK	Gain-of-function	Somatic	Gain	TK
ALK	Gain-of-function	Somatic	Overexpression	TK
EML4	Gain-of-function	Somatic	Fusion	NA
EML4	Gain-of-function	Somatic	Overexpression	NA
EML4	Gain-of-function	Somatic	Gain	NA
CDKN2A	Loss-of-function	Somatic	Underexpression	CC
CDKN2A	Loss-of-function	Somatic	Deletion	CC
CDKN2B	Loss-of-function	Somatic	Deletion	CC
CDKN2B	Loss-of-function	Somatic	Underexpression	CC
STK11	Loss-of-function	Somatic	Underexpression	PAM
STK11	Loss-of-function	Somatic	Deletion	PAM
BRCA2	Loss-of-function	Somatic	Deletion	DDR
CHEK1	Loss-of-function	Somatic	Deletion	DDR
SBS3	Composite biomarker	Somatic	Mutational signature	DDR
NA	NA	NA	NA	NA
NTRK1	Gain-of-function	Somatic	Overexpression	TK
ROS1	Gain-of-function	Somatic	Overexpression	TK
ATP1A1	Gain-of-function	Somatic	Fusion	NA
RASGRP1	Gain-of-function	Somatic	Fusion	NA
CDKN2A	Loss-of-function	Somatic	Deletion	CC
CDKN2B	Loss-of-function	Somatic	Deletion	CC
ATP1A1	Gain-of-function	Somatic	Fusion	NA
RASGRP1	Gain-of-function	Somatic	Fusion	NA
RNF43	Loss-of-function	Somatic	SNV/indel	DEV
CLDN18	Gain-of-function	Somatic	Overexpression	IE
CDK4	Gain-of-function	Somatic	Gain	CC
CDK4	Gain-of-function	Somatic	Overexpression	CC
MDM2	Gain-of-function	Somatic	Gain	CC
MDM2	Gain-of-function	Somatic	Overexpression	CC
SDHB	Loss-of-function	Somatic	Deletion	OTH
SDHD	Loss-of-function	Somatic	Deletion	OTH
EGFR	Gain-of-function	Somatic	Overexpression	TK
FGFR1	Gain-of-function	Somatic	Overexpression	TK
FGFR2	Gain-of-function	Somatic	Overexpression	TK
KIT	Gain-of-function	Somatic	Overexpression	TK
PDGFA	Gain-of-function	Somatic	Overexpression	TK
ROS1	Gain-of-function	Somatic	Overexpression	TK
CTAG1B	Gain-of-function	Somatic	Overexpression	IE
CHEK1	Loss-of-function	Somatic	Underexpression	DDR
CHEK1	Loss-of-function	Somatic	Deletion	DDR
PARP1	Gain-of-function	Somatic	Gain	DDR
RAD51	Loss-of-function	Somatic	Deletion	DDR
RAD51	Loss-of-function	Somatic	Underexpression	DDR
RAD54L	Loss-of-function	Somatic	Deletion	DDR
RAD54L	Loss-of-function	Somatic	Underexpression	DDR
GRM1	Gain-of-function	Somatic	Overexpression	OTH
ESR1	Gain-of-function	Somatic	Overexpression	DEV
FGF1	Gain-of-function	Somatic	Overexpression	TK
FLT1	Gain-of-function	Somatic	Overexpression	TK
NTRK2	Gain-of-function	Somatic	Overexpression	TK
PDGFA	Gain-of-function	Somatic	Overexpression	TK
PDGFB	Gain-of-function	Somatic	Overexpression	TK
PDGFRB	Gain-of-function	Somatic	Overexpression	TK
EGFR	Gain-of-function	Somatic	Gain	TK
ARAF	Gain-of-function	Somatic	SNV/indel	RME
GNAS	Gain-of-function	Somatic	SNV/indel	RME
MYC	Gain-of-function	Somatic	Gain	CC
GNAS	Gain-of-function	Somatic	SNV/indel	RME
NA	NA	NA	NA	NA
NTRK1	Gain-of-function	Somatic	Gain	TK
BRCA1	Loss-of-function	Germline	SNV/indel	DDR
DDR1	Gain-of-function	Somatic	Overexpression	TK
KIT	Gain-of-function	Somatic	Overexpression	TK
DNMT3A	Loss-of-function	Somatic	SNV/indel	OTH
BRCA1	Loss-of-function	Germline	NA	DDR
ATR	Loss-of-function	Somatic	Deletion	DDR
BRCA2	Loss-of-function	Somatic	Deletion	DDR
CHEK2	Loss-of-function	Somatic	Deletion	DDR
FANCC	Loss-of-function	Somatic	Deletion	DDR
RPA1	Loss-of-function	Somatic	Deletion	DDR
CDKN2A	Loss-of-function	Somatic	Deletion	CC
CDKN2B	Loss-of-function	Somatic	Deletion	CC
NF2	Loss-of-function	Somatic	Deletion	PAM
BRD4	Gain-of-function	Somatic	SNV/indel	OTH
CD274	Gain-of-function	Somatic	Gain	IE
PDCD1LG2	Gain-of-function	Somatic	Overexpression	IE
PDCD1LG2	Gain-of-function	Somatic	Gain	IE
SBS3	Composite biomarker	NA	Mutational signature	DDR
CDKN2A	Loss-of-function	Somatic	Deletion	CC
NF1	Loss-of-function	Somatic	Deletion	RME
SUZ12	Loss-of-function	Somatic	Deletion	OTH
NF1	Loss-of-function	Somatic	Deletion	RME
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
BAP1	Loss-of-function	Somatic	Underexpression	DDR
BRCA2	Loss-of-function	Germline	SNV/indel	DDR
FANCI	Loss-of-function	Germline	SNV/indel	DDR
NA	NA	NA	NA	NA
TMB	Composite biomarker	Somatic	Positive	IE
SMARCB1	Loss-of-function	Somatic	SNV/indel	DEV
FGF3	Gain-of-function	Somatic	Overexpression	TK
PDGFA	Gain-of-function	Somatic	Overexpression	TK
GLI1	Gain-of-function	Somatic	Overexpression	DEV
SHH	Gain-of-function	Somatic	Overexpression	DEV
SMARCB1	Loss-of-function	Somatic	SNV/indel	DEV
NA	NA	NA	NA	NA
FGFR1	Gain-of-function	Somatic	Overexpression	TK
NAB2	NA	Somatic	Fusion	OTH
STAT6	Gain-of-function	Somatic	Fusion	OTH
STAT6	Gain-of-function	Somatic	SNV/indel	OTH
ERCC3	Loss-of-function	Germline	NA	DDR
MSH2	Loss-of-function	Somatic	SNV/indel	DDR
TMB	Composite biomarker	Somatic	Positive	IE
TSC1	Loss-of-function	Somatic	SNV/indel	PAM
ERRFI1	Loss-of-function	Somatic	SNV/indel	TK
GNA11	Gain-of-function	Somatic	SNV/indel	RME
TSC2	Loss-of-function	Somatic	SNV/indel	PAM
CDKN2A	Loss-of-function	Somatic	Deletion	CC
CDKN2A	Loss-of-function	Somatic	Underexpression	CC
CDKN2B	Loss-of-function	Somatic	Underexpression	CC
CDKN2B	Loss-of-function	Somatic	Deletion	CC
NA	NA	NA	NA	NA
HRD	Composite biomarker	NA	Positive	DDR
HRD	Composite biomarker	NA	Positive	DDR
SBS26	Composite biomarker	NA	Mutational signature	NA
HRD	Composite biomarker	NA	Positive	DDR
HRD	Composite biomarker	NA	Positive	DDR
HRAS	Gain-of-function	Germline	SNV/indel	RME
SBS26	Composite biomarker	NA	Mutational signature	NA
CDKN2A	Loss-of-function	Somatic	Deletion	CC
CDKN2B	Loss-of-function	Somatic	Deletion	CC
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
CCND1	Gain-of-function	Somatic	Gain	CC
FGF3	Gain-of-function	Somatic	Gain	TK
FGF4	Gain-of-function	Somatic	Gain	TK
FGF4	Gain-of-function	Somatic	Overexpression	TK
FGFR2	Gain-of-function	Somatic	Overexpression	TK
FGFR3	Gain-of-function	Somatic	Overexpression	TK
FGFR4	Gain-of-function	Somatic	Overexpression	TK
ATM	Loss-of-function	Somatic	Deletion	DDR
BAP1	Loss-of-function	Somatic	Deletion	DDR
BRCA2	Loss-of-function	Somatic	Deletion	DDR
FANCC	Loss-of-function	Somatic	Deletion	DDR
HRD	Composite biomarker	NA	Positive	DDR
MRE11	Loss-of-function	Somatic	Deletion	DDR
MRE11	Loss-of-function	Somatic	Underexpression	DDR
SBS3	Composite biomarker	Somatic	Mutational signature	DDR
XRCC2	Loss-of-function	Somatic	Deletion	DDR
XRCC2	Loss-of-function	Somatic	Underexpression	DDR
CCND1	Gain-of-function	Somatic	Gain	CC
CDKN2A	Loss-of-function	Somatic	SNV/indel	CC
BRAF	Gain-of-function	Somatic	SNV/indel	RME
BRAF	Gain-of-function	Somatic	SNV/indel	RME
TMB	Composite biomarker	Somatic	Positive	IE
NA	NA	NA	NA	NA
ERBB3	Gain-of-function	Somatic	Overexpression	TK
CTLA4	Gain-of-function	Somatic	Overexpression	IE
LAG3	Gain-of-function	Somatic	Overexpression	IE
PDCD1	Gain-of-function	Somatic	Overexpression	IE
PDCD1LG2	Gain-of-function	Somatic	Overexpression	IE
FGFR4	Gain-of-function	Somatic	Overexpression	TK
KDR	Gain-of-function	Somatic	Gain	TK
KDR	Gain-of-function	Somatic	Overexpression	TK
KIT	Gain-of-function	Somatic	Gain	TK
KLB	Gain-of-function	Somatic	Overexpression	TK
PDGFB	Gain-of-function	Somatic	Overexpression	TK
PDGFRA	Gain-of-function	Somatic	Overexpression	TK
PDGFRA	Gain-of-function	Somatic	Gain	TK
TEK	Gain-of-function	Somatic	Overexpression	TK
MDM2	Gain-of-function	Somatic	Gain	CC
MDM2	Gain-of-function	Somatic	Overexpression	CC
FGFR2	Gain-of-function	Somatic	Fusion	TK
TACC2	Gain-of-function	Somatic	Fusion	NA
FGFR2	Gain-of-function	Somatic	Fusion	TK
KDM5C	Gain-of-function	Somatic	SNV/indel	OTH
RET	Gain-of-function	Somatic	Overexpression	TK
TACC2	Gain-of-function	Somatic	Fusion	NA
EGFR	Gain-of-function	Somatic	Overexpression	TK
TET2	Loss-of-function	Somatic	SNV/indel	OTH
ASCL1	Gain-of-function	Somatic	Overexpression	OTH
DLL3	Gain-of-function	Somatic	Overexpression	DEV
NA	NA	NA	NA	NA
ATM	Loss-of-function	Somatic	Deletion	DDR
SBS3	Composite biomarker	Somatic	Mutational signature	DDR
PTEN	Loss-of-function	Somatic	Deletion	PAM
FLT1	Gain-of-function	Somatic	Overexpression	TK
PDGFRB	Gain-of-function	Somatic	SNV/indel	TK
PDGFRB	Gain-of-function	Somatic	Overexpression	TK
HGF	Gain-of-function	Somatic	Overexpression	TK
NTRK1	Gain-of-function	Somatic	Overexpression	TK
ROS1	Gain-of-function	Somatic	Overexpression	TK
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
CD274	Gain-of-function	Somatic	Overexpression	IE
PDCD1	Gain-of-function	Somatic	Overexpression	IE
